epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,3120.53,1.04701,1.13039,0.97383,0.23462,0.2348,0.17981,0.12592,1.43288,2.57267,1.22351,0.000396071,0.000396071,0.000396071
67,3167.99,1.03371,1.10149,0.96633,0.26202,0.22793,0.17893,0.12178,1.41282,2.48995,1.23065,0.000385073,0.000385073,0.000385073
68,3216.66,0.96588,1.04061,0.95694,0.23068,0.24149,0.17641,0.12501,1.45521,2.64101,1.24836,0.000374074,0.000374074,0.000374074
69,3261.78,1.00846,1.0474,0.96877,0.29472,0.22721,0.17559,0.1208,1.42994,2.619,1.22345,0.000363075,0.000363075,0.000363075
70,3309.82,0.97373,1.01336,0.95618,0.34637,0.21696,0.1896,0.13555,1.41466,2.45089,1.21246,0.000352076,0.000352076,0.000352076
71,3357.28,0.98604,1.04098,0.96826,0.23149,0.24436,0.18537,0.12855,1.4727,2.47065,1.25706,0.000341077,0.000341077,0.000341077
72,3403.53,1.00214,1.03381,0.94584,0.35352,0.21932,0.19008,0.13185,1.48706,2.51103,1.22916,0.000330078,0.000330078,0.000330078
73,3451.05,0.9731,1.01661,0.96229,0.2777,0.22842,0.18834,0.12984,1.47245,2.61122,1.25569,0.000319079,0.000319079,0.000319079
74,3499.32,0.96065,0.97952,0.93712,0.33381,0.18663,0.17634,0.11982,1.44716,2.63366,1.23877,0.00030808,0.00030808,0.00030808
75,3546.77,0.95354,0.95143,0.94441,0.28955,0.23274,0.1841,0.12529,1.44444,2.64105,1.22221,0.000297081,0.000297081,0.000297081
76,3596.21,0.92018,0.92238,0.93978,0.29335,0.21846,0.19189,0.13269,1.42858,2.59343,1.21808,0.000286083,0.000286083,0.000286083
77,3643.51,0.94929,0.98027,0.95687,0.26081,0.2044,0.18984,0.12877,1.45079,2.69702,1.20322,0.000275084,0.000275084,0.000275084
